to;6.25737390525154e-2
characters;5.030520991678933e-2
as;4.684098761275268e-2
it;4.545817693502552e-2
script;4.297733367538625e-2
your;4.297733367538625e-2
all;3.774522465965435e-2
cinematic;3.7418126286253184e-2
for;3.7210412947388694e-2
makes;3.701518995136088e-2
in;3.60550568887299e-2
have;3.543960346400166e-2
much;3.43579376315597e-2
not;3.43579376315597e-2
through;3.3401341077686775e-2
story;2.9899211641920775e-2
comedy;2.879873024242663e-2
has;2.7779681377111842e-2
this;2.76952681244802e-2
film;2.67503436643437e-2
just;2.6272307442542164e-2
with;2.4839647379724106e-2
some;2.4832675947580984e-2
here;2.4832675947580984e-2
well;2.117460790842296e-2
off;2.117460790842296e-2
sense;2.117460790842296e-2
too;2.117460790842296e-2
but;2.0277110204369286e-2
and;1.9060876037343633e-2
are;1.905666345296475e-2
their;1.8603747711241514e-2
by;1.792957582154253e-2
of;1.60749356673886e-2
only;1.2831876287423105e-2
self;1.2831876287423105e-2
ut;1.2831876287423105e-2
you;1.25994310300801e-2
so;1.2555211864596405e-2
into;1.2555211864596405e-2
does;1.2555211864596405e-2
own;1.2555211864596405e-2
good;1.151893324157971e-2
the;1.1390863686002506e-2
any;1.0979625377237845e-2
performances;1.0979625377237845e-2
screen;1.0979625377237845e-2
more;1.0747180119894173e-2
is;9.03852526804716e-3
its;6.945255224986235e-3
movie;6.318326526331353e-3
on;5.959096806719799e-3
very;5.470397394935711e-3
from;4.915211905593964e-3
up;4.21248024359655e-3
which;2.636893756237546e-3
rather;2.636893756237546e-3
going;2.636893756237546e-3
flick;2.636893756237546e-3
action;2.636893756237546e-3
he;2.581769375945564e-3
something;2.360229333410624e-3
still;2.360229333410624e-3
movies;2.360229333410624e-3
that;1.724042334079634e-3
than;1.5533899590371991e-3
his;1.015667904045392e-3
about;9.120057251594815e-4
us;9.120057251594815e-4
one;2.959807984859175e-4
like;2.959807984859175e-4
an;1.4025260347350077e-4
be;1.4025260347350077e-4
